seg_id,time_to_failure
seg_00030f,4.400187128810759
seg_0012b5,5.661449895792276
seg_00184e,6.0346009365765685
seg_003339,9.210325863594898
seg_0042cc,7.680152515928604
seg_004314,2.8430981252556453
seg_004cd2,8.268376162282939
seg_004ee5,4.31197159746857
seg_004f1f,5.414149267110124
seg_00648a,3.099712263243211
seg_006e4a,3.3076922356919427
seg_007a37,5.395607882744916
seg_00a37e,4.202656435903009
seg_00be11,3.3160254057864056
seg_00c35b,9.17287489412396
seg_00cc91,4.236118198603525
seg_00e5f7,5.5850606468468795
seg_00f3b9,3.5497815810868065
seg_010eab,7.197958440625238
seg_0125d9,5.694920938469999
seg_0144cb,6.074765122471422
seg_0165c6,10.883239748127625
seg_016913,4.382390054238956
seg_016cdb,5.004718201203792
seg_017314,7.503592393071
seg_01a8dc,4.299612868328229
seg_01c775,1.1931659372879846
seg_01ecb0,4.196920467933263
seg_02042f,2.671314231220244
seg_025e78,5.227333806632374
seg_032822,4.435932087927944
seg_0339ca,4.6645090649862055
seg_037461,3.9920551380614966
seg_038879,7.4311106790122485
seg_03d386,2.8209144813608455
seg_03d63e,4.747997604529175
seg_03d680,9.622979817112753
seg_03f380,4.272427647673956
seg_0445d7,6.076198755021068
seg_046c28,2.3854368912714516
seg_0488a1,6.105790668213288
seg_049957,9.705133099419648
seg_04a696,7.444250373509282
seg_04ae38,4.8251285695567
seg_04b87a,10.003875285460191
seg_04cceb,8.320688947847895
seg_04ee93,7.840705070262283
seg_04fd93,6.961414400489453
seg_0536c9,4.547548039580586
seg_055127,6.841202314866173
seg_05a1b0,4.907254795333573
seg_05a4ad,6.501612073134404
seg_05b66a,8.155686381523367
seg_05bef4,2.7632134956085017
seg_05e0d7,5.051124299452911
seg_05f126,8.706265724469066
seg_05f9d6,7.688034370205658
seg_060ce4,2.451768383946651
seg_061a33,7.816278034772884
seg_0620e6,7.088899602203032
seg_063865,7.21526012007176
seg_065588,4.741268313849175
seg_06893f,2.7680974382380135
seg_06b8c9,5.466458023985911
seg_06bbc5,3.805344986805213
seg_06d4a2,4.4425359659650345
seg_06d7ba,3.4456078133862236
seg_070bb0,2.196273872661299
seg_071067,2.5749748129420995
seg_073696,9.770044713924108
seg_075340,5.348623639682729
seg_075f77,3.016909021384741
seg_0775a7,3.7531376070529934
seg_077b7e,5.491760234314541
seg_079e34,4.928412265318842
seg_07c815,4.302643248117748
seg_07cd72,4.851739121025603
seg_07f37c,4.203481415452263
seg_07f8df,5.202504763201637
seg_07fc6d,8.961087080041926
seg_086a61,9.136019372893589
seg_0870ab,5.560270523637006
seg_0879a8,9.227546682422306
seg_08b136,8.14586679052128
seg_08f441,4.343682696908288
seg_08fd5b,3.766607982733676
seg_091c9d,9.901565682688526
seg_093a0a,8.17959531323496
seg_0968f1,7.8805656798870425
seg_0981f3,2.80284149435082
seg_09dd59,7.802518367128073
seg_09ed4e,9.798961360997913
seg_09f0ff,4.610918084345847
seg_0a0fbb,10.64573833401917
seg_0a1bd0,5.9456306383945545
seg_0a42ba,9.917727625677538
seg_0a45a1,3.9168466995227527
seg_0a97c4,5.990880361148956
seg_0aa0fb,7.486136844850943
seg_0b07c7,5.847272299970111
seg_0b082e,9.79785428081683
seg_0b32f7,3.664383027920156
seg_0b3b94,5.469498110649938
seg_0b48c4,3.8792607282031417
seg_0b4b24,4.127766510286383
seg_0b54ac,4.691540353125324
seg_0b76f5,9.658781965836443
seg_0b9ad8,7.231409027353282
seg_0b9ba3,11.000698364052772
seg_0ba210,10.61327297033628
seg_0ba585,4.980932639355276
seg_0bb5fd,5.322675474653003
seg_0bc877,3.4485285356081903
seg_0be6ee,2.5603403799425917
seg_0c12cc,8.345517403884005
seg_0c1d3a,4.369970775908593
seg_0c247b,6.867359667133081
seg_0c3943,3.580985563762856
seg_0c4e31,2.177802435968721
seg_0c74cf,3.110012031277848
seg_0c8502,10.098113368317456
seg_0c89ce,7.8958234293041185
seg_0c9aa8,10.031014892988763
seg_0cb81b,3.179909681570969
seg_0cca14,4.394528296045576
seg_0cdcc8,2.3022291527815657
seg_0cf651,2.9025463756099357
seg_0d0250,4.7051571865079485
seg_0d04b9,6.354718363824144
seg_0d13a7,4.286758245600175
seg_0d434c,11.151438481992178
seg_0d540e,2.798660802245811
seg_0d663a,9.212847253058117
seg_0d6d68,4.98515599591843
seg_0d762e,6.983585742582637
seg_0d833c,6.603019518253787
seg_0dae4b,4.145262555179803
seg_0dc38f,2.4190514367350664
seg_0dcc40,6.685002346974979
seg_0df469,4.737424146421057
seg_0df75c,10.303472123423433
seg_0dfe8c,4.688491139549022
seg_0e1370,2.463393882655657
seg_0e1fbe,5.516138232524982
seg_0e3739,5.073971291291224
seg_0e3d44,2.7134093565825177
seg_0e3ed2,2.4418234705076434
seg_0e4833,10.09710632503338
seg_0e7cc5,6.898064985326413
seg_0e8b79,9.723034752142198
seg_0e9987,5.375195167954009
seg_0e9bb3,6.54533643150291
seg_0eb333,1.9837332702920776
seg_0ebfd9,5.36693673195193
seg_0f565c,5.243230321865095
seg_0f74a3,6.779903967192126
seg_0f8961,9.481645390568614
seg_0fc67a,9.721281402071577
seg_0fca83,3.3635073912110323
seg_0fd3ff,3.024451462286057
seg_1010ad,9.215002322325798
seg_103b32,4.207950902199423
seg_105cd9,4.24219882772327
seg_1084af,6.373091619595609
seg_10a595,5.044035402700257
seg_10c09d,10.877147530056924
seg_10f3a6,4.222373108939443
seg_112b81,6.668226069944542
seg_1144bc,11.244067542664625
seg_114b79,4.5892774886014625
seg_115617,4.282853059243029
seg_115a92,4.303272166004703
seg_11647f,4.128318968283489
seg_117278,4.894245410661993
seg_117ff4,5.075510941860046
seg_11860f,4.501929051366947
seg_1201e8,5.297993935348757
seg_121446,6.944178803230814
seg_121cba,3.733891245263742
seg_122ba9,4.542732078814103
seg_123dd4,8.846682317224033
seg_12ac20,10.768737894319964
seg_12b9ba,6.8775916234391365
seg_12ee6e,4.05396975266206
seg_130e17,2.5898996588650025
seg_13468a,5.543548156548338
seg_136285,6.266711923506889
seg_136695,9.193517431377593
seg_137f8a,4.8483854515476
seg_138807,5.900843902382186
seg_13c2f0,5.120287646367485
seg_13e25f,6.248175541372121
seg_140bc5,2.929824422022094
seg_141f34,10.857549328817194
seg_146926,10.244033983894285
seg_148698,8.523289323478748
seg_14ad27,2.2857304145628836
seg_14c054,9.30148189827846
seg_14c371,8.838405722952299
seg_14c435,4.160813688944186
seg_14c89d,6.006475605413758
seg_14c8ce,7.208496261693615
seg_14d1d3,5.485981493422304
seg_14f5f0,9.844573486403315
seg_151368,8.408144044239917
seg_151d92,3.2157116486194064
seg_153d6a,11.132245705678606
seg_154361,9.166069648324672
seg_1562cb,8.966752969238474
seg_158691,4.012892684530811
